measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2022-11-10T00:00:00+09:00,smartmeter,,,692.0,,
2022-11-10T00:00:00+09:00,smartmeter,,,,5.5,1.9
2022-11-10T00:00:00+09:00,smartmeter,,2968.41,,,
2022-11-10T00:02:00+09:00,smartmeter,,,668.0,,
2022-11-10T00:02:00+09:00,smartmeter,,,,5.3,2.0
2022-11-10T00:04:00+09:00,smartmeter,,,676.0,,
2022-11-10T00:04:00+09:00,smartmeter,,,,5.5,1.8
2022-11-10T00:05:00+09:00,smartmeter,,,692.0,,
2022-11-10T00:05:00+09:00,smartmeter,,,,5.6,1.9
2022-11-10T00:06:00+09:00,smartmeter,,,604.0,,
2022-11-10T00:06:00+09:00,smartmeter,,,,4.5,2.0
2022-11-10T00:07:00+09:00,smartmeter,,,592.0,,
2022-11-10T00:07:00+09:00,smartmeter,,,,4.4,2.0
2022-11-10T00:08:00+09:00,smartmeter,,,576.0,,
2022-11-10T00:08:00+09:00,smartmeter,,,,4.4,1.8
2022-11-10T00:10:00+09:00,smartmeter,,,596.0,,
2022-11-10T00:10:00+09:00,smartmeter,,,,4.6,1.8
2022-11-10T00:11:00+09:00,smartmeter,,,572.0,,
2022-11-10T00:11:00+09:00,smartmeter,,,,4.5,1.7
2022-11-10T00:12:00+09:00,smartmeter,,,564.0,,
2022-11-10T00:12:00+09:00,smartmeter,,,,4.4,1.7
2022-11-10T00:13:00+09:00,smartmeter,,,568.0,,
2022-11-10T00:13:00+09:00,smartmeter,,,,4.4,1.8
2022-11-10T00:14:00+09:00,smartmeter,,,604.0,,
2022-11-10T00:14:00+09:00,smartmeter,,,,4.6,1.8
2022-11-10T00:15:00+09:00,smartmeter,,,588.0,,
2022-11-10T00:15:00+09:00,smartmeter,,,,4.5,1.7
2022-11-10T00:16:00+09:00,smartmeter,,,584.0,,
2022-11-10T00:16:00+09:00,smartmeter,,,,4.5,1.8
2022-11-10T00:17:00+09:00,smartmeter,,,576.0,,
2022-11-10T00:17:00+09:00,smartmeter,,,,4.4,1.8
2022-11-10T00:19:00+09:00,smartmeter,,,688.0,,
2022-11-10T00:19:00+09:00,smartmeter,,,,5.6,1.8
2022-11-10T00:20:00+09:00,smartmeter,,,660.0,,
2022-11-10T00:20:00+09:00,smartmeter,,,,5.8,1.4
2022-11-10T00:21:00+09:00,smartmeter,,,652.0,,
2022-11-10T00:21:00+09:00,smartmeter,,,,5.7,1.4
2022-11-10T00:22:00+09:00,smartmeter,,,648.0,,
2022-11-10T00:22:00+09:00,smartmeter,,,,5.7,1.4
2022-11-10T00:23:00+09:00,smartmeter,,,628.0,,
2022-11-10T00:23:00+09:00,smartmeter,,,,5.6,1.3
2022-11-10T00:24:00+09:00,smartmeter,,,648.0,,
2022-11-10T00:24:00+09:00,smartmeter,,,,5.8,1.3
2022-11-10T00:25:00+09:00,smartmeter,,,652.0,,
2022-11-10T00:25:00+09:00,smartmeter,,,,5.8,1.3
2022-11-10T00:26:00+09:00,smartmeter,,,648.0,,
2022-11-10T00:26:00+09:00,smartmeter,,,,5.8,1.3
2022-11-10T00:27:00+09:00,smartmeter,,,648.0,,
2022-11-10T00:27:00+09:00,smartmeter,,,,5.7,1.4
2022-11-10T00:28:00+09:00,smartmeter,,,648.0,,
2022-11-10T00:28:00+09:00,smartmeter,,,,5.7,1.3
2022-11-10T00:29:00+09:00,smartmeter,,,840.0,,
2022-11-10T00:29:00+09:00,smartmeter,,,,5.5,3.5
2022-11-10T00:30:00+09:00,smartmeter,,,652.0,,
2022-11-10T00:30:00+09:00,smartmeter,,,,5.6,1.5
2022-11-10T00:31:00+09:00,smartmeter,,,652.0,,
2022-11-10T00:31:00+09:00,smartmeter,,,,5.8,1.4
2022-11-10T00:33:00+09:00,smartmeter,,,516.0,,
2022-11-10T00:33:00+09:00,smartmeter,,,,4.2,1.6
2022-11-10T00:34:00+09:00,smartmeter,,,548.0,,
2022-11-10T00:34:00+09:00,smartmeter,,,,4.2,1.9
2022-11-10T00:35:00+09:00,smartmeter,,,472.0,,
2022-11-10T00:35:00+09:00,smartmeter,,,,3.6,1.9
2022-11-10T00:36:00+09:00,smartmeter,,,436.0,,
2022-11-10T00:36:00+09:00,smartmeter,,,,3.2,1.9
2022-11-10T00:30:00+09:00,smartmeter,,2968.73,,,
2022-11-10T00:37:00+09:00,smartmeter,,,440.0,,
2022-11-10T00:37:00+09:00,smartmeter,,,,3.2,1.9
2022-11-10T00:38:00+09:00,smartmeter,,,432.0,,
2022-11-10T00:38:00+09:00,smartmeter,,,,3.1,1.9
2022-11-10T00:39:00+09:00,smartmeter,,,440.0,,
2022-11-10T00:39:00+09:00,smartmeter,,,,3.2,1.9
2022-11-10T00:40:00+09:00,smartmeter,,,428.0,,
2022-11-10T00:40:00+09:00,smartmeter,,,,3.0,1.9
2022-11-10T00:41:00+09:00,smartmeter,,,420.0,,
2022-11-10T00:41:00+09:00,smartmeter,,,,3.0,1.9
2022-11-10T00:42:00+09:00,smartmeter,,,424.0,,
2022-11-10T00:42:00+09:00,smartmeter,,,,3.1,1.8
2022-11-10T00:43:00+09:00,smartmeter,,,452.0,,
2022-11-10T00:43:00+09:00,smartmeter,,,,3.2,1.9
2022-11-10T00:44:00+09:00,smartmeter,,,448.0,,
2022-11-10T00:44:00+09:00,smartmeter,,,,3.2,1.9
2022-11-10T00:45:00+09:00,smartmeter,,,436.0,,
2022-11-10T00:45:00+09:00,smartmeter,,,,3.2,1.9
2022-11-10T00:46:00+09:00,smartmeter,,,472.0,,
2022-11-10T00:46:00+09:00,smartmeter,,,,3.6,1.9
2022-11-10T00:47:00+09:00,smartmeter,,,472.0,,
2022-11-10T00:47:00+09:00,smartmeter,,,,3.6,1.9
2022-11-10T00:48:00+09:00,smartmeter,,,452.0,,
2022-11-10T00:48:00+09:00,smartmeter,,,,3.5,1.9
2022-11-10T00:49:00+09:00,smartmeter,,,472.0,,
2022-11-10T00:49:00+09:00,smartmeter,,,,3.7,1.8
2022-11-10T00:50:00+09:00,smartmeter,,,480.0,,
2022-11-10T00:50:00+09:00,smartmeter,,,,3.8,1.7
2022-11-10T00:51:00+09:00,smartmeter,,,356.0,,
2022-11-10T00:51:00+09:00,smartmeter,,,,2.6,1.7
2022-11-10T00:52:00+09:00,smartmeter,,,348.0,,
2022-11-10T00:52:00+09:00,smartmeter,,,,2.5,1.7
2022-11-10T00:53:00+09:00,smartmeter,,,364.0,,
2022-11-10T00:53:00+09:00,smartmeter,,,,2.5,1.8
2022-11-10T00:54:00+09:00,smartmeter,,,364.0,,
2022-11-10T00:54:00+09:00,smartmeter,,,,2.6,1.7
2022-11-10T00:55:00+09:00,smartmeter,,,380.0,,
2022-11-10T00:55:00+09:00,smartmeter,,,,2.7,1.7
2022-11-10T00:56:00+09:00,smartmeter,,,472.0,,
2022-11-10T00:56:00+09:00,smartmeter,,,,2.7,2.7
2022-11-10T00:57:00+09:00,smartmeter,,,352.0,,
2022-11-10T00:57:00+09:00,smartmeter,,,,2.5,1.7
2022-11-10T00:58:00+09:00,smartmeter,,,356.0,,
2022-11-10T00:58:00+09:00,smartmeter,,,,2.5,1.7
2022-11-10T00:59:00+09:00,smartmeter,,,348.0,,
2022-11-10T00:59:00+09:00,smartmeter,,,,2.5,1.7
2022-11-10T01:00:00+09:00,smartmeter,,,372.0,,
2022-11-10T01:00:00+09:00,smartmeter,,,,2.7,1.7
2022-11-10T01:00:00+09:00,smartmeter,,2968.96,,,
2022-11-10T01:01:00+09:00,smartmeter,,,376.0,,
2022-11-10T01:01:00+09:00,smartmeter,,,,2.7,1.7
2022-11-10T01:02:00+09:00,smartmeter,,,368.0,,
2022-11-10T01:02:00+09:00,smartmeter,,,,2.6,1.8
2022-11-10T01:03:00+09:00,smartmeter,,,348.0,,
2022-11-10T01:03:00+09:00,smartmeter,,,,2.5,1.7
2022-11-10T01:04:00+09:00,smartmeter,,,444.0,,
2022-11-10T01:04:00+09:00,smartmeter,,,,3.6,1.7
2022-11-10T01:05:00+09:00,smartmeter,,,452.0,,
2022-11-10T01:05:00+09:00,smartmeter,,,,3.6,1.7
2022-11-10T01:06:00+09:00,smartmeter,,,476.0,,
2022-11-10T01:06:00+09:00,smartmeter,,,,3.7,1.8
2022-11-10T01:07:00+09:00,smartmeter,,,492.0,,
2022-11-10T01:07:00+09:00,smartmeter,,,,3.8,1.8
2022-11-10T01:08:00+09:00,smartmeter,,,472.0,,
2022-11-10T01:08:00+09:00,smartmeter,,,,3.7,1.8
2022-11-10T01:09:00+09:00,smartmeter,,,468.0,,
2022-11-10T01:09:00+09:00,smartmeter,,,,3.7,1.7
2022-11-10T01:10:00+09:00,smartmeter,,,476.0,,
2022-11-10T01:10:00+09:00,smartmeter,,,,3.8,1.8
2022-11-10T01:11:00+09:00,smartmeter,,,512.0,,
2022-11-10T01:11:00+09:00,smartmeter,,,,3.8,2.0
2022-11-10T01:12:00+09:00,smartmeter,,,464.0,,
2022-11-10T01:12:00+09:00,smartmeter,,,,3.8,1.5
2022-11-10T01:13:00+09:00,smartmeter,,,448.0,,
2022-11-10T01:13:00+09:00,smartmeter,,,,3.7,1.6
2022-11-10T01:14:00+09:00,smartmeter,,,436.0,,
2022-11-10T01:14:00+09:00,smartmeter,,,,3.5,1.6
2022-11-10T01:15:00+09:00,smartmeter,,,424.0,,
2022-11-10T01:15:00+09:00,smartmeter,,,,3.6,1.4
2022-11-10T01:16:00+09:00,smartmeter,,,436.0,,
2022-11-10T01:16:00+09:00,smartmeter,,,,3.7,1.4
2022-11-10T01:17:00+09:00,smartmeter,,,572.0,,
